;codePostal_recons;prix_m2_mean;prix_m2_std;prix_m2_max;prix_m2_min;tc_am_reg;prix_m2_cv;cluster;mapCoordonneesLatitude;mapCoordonneesLongitude;geometry
3026;54160;1670.8154097222223;670.85173378327;3065.04;358.31;22.972659608904976;0.40151157924429304;0;48.547386136363635;6.135177045454546;POINT (6.135177045454546 48.547386136363635)
3027;54170;1335.491074074074;514.6661030758532;3691.8333333333335;450.82;1.1803276176525657;0.38537592131245263;0;48.533966547619045;5.8888324999999995;POINT (5.8888324999999995 48.533966547619045)
3028;54180;2476.773033064453;390.68414465591354;3289.05;1732.56;5.677479754422432;0.15773917893983577;1;48.65005803030303;6.19021388888889;POINT (6.19021388888889 48.65005803030303)
3029;54190;2551.5000539346524;466.13882157103717;3328.751764705882;1647.4399999999998;14.24867937055847;0.18269206808450086;1;49.46517080188679;5.92465465408805;POINT (5.92465465408805 49.46517080188679)
3030;54200;1533.8430020698886;212.9289032634696;2227.12;962.74;5.566815157809413;0.13882053311592293;1;48.6816344576523;5.889624933135216;POINT (5.889624933135216 48.6816344576523)
3031;54210;1628.5668687978687;388.0275908812174;2300.58;810.81;1.0486956526162716;0.2382632229081518;1;48.61841341463415;6.288474268292683;POINT (6.288474268292683 48.61841341463415)
3032;54220;1991.127334721438;367.76921511889674;3133.335;1290.32;3.9499149925036336;0.18470401601429887;1;48.7124843939394;6.18706696969697;POINT (6.18706696969697 48.7124843939394)
3033;54230;1838.0253726309516;258.6504764191544;2623.8900000000003;1215.1599999999999;3.9843974528116277;0.14072192923480803;1;48.62021848137535;6.100207191977078;POINT (6.100207191977078 48.62021848137535)
3034;54240;1220.6420308531747;291.45874241623346;2398.15;755.01;3.955142201172346;0.23877495207380064;1;49.22800325301205;6.011275180722891;POINT (6.011275180722891 49.22800325301205)
3035;54250;1912.5063710801394;394.8885332281564;2648.8725;1046.51;6.9635529597369406;0.20647697659962957;1;48.731980816326534;6.160977857142858;POINT (6.160977857142858 48.731980816326534)
3036;54260;1487.4163515473888;344.1546879954904;2519.4049999999997;766.694;8.63747213719801;0.231377507472914;1;49.45602389285715;5.587484857142857;POINT (5.587484857142857 49.45602389285715)
3037;54270;2183.0873287220024;326.9626386527082;3044.73;1561.4;4.5480688153294535;0.14977075554925917;1;48.705262109375;6.2265669921875;POINT (6.2265669921875 48.705262109375)
3038;54280;2053.686531573499;414.81665385708754;2767.5119999999997;1034.62;5.025663106112166;0.20198635355477654;1;48.73085745098039;6.30472318627451;POINT (6.30472318627451 48.73085745098039)
3039;54290;1264.3835767383025;363.36619119766067;1968.7261538461537;400.0;12.398088464014556;0.28738604161169745;0;48.47173261306533;6.309088542713568;POINT (6.309088542713568 48.47173261306533)
3040;54300;1409.23647815529;191.41747909867763;2245.0;1060.3666666666666;1.0094877940340474;0.1358306303206441;1;48.58879264884569;6.503274374240583;POINT (6.503274374240583 48.58879264884569)
3041;54310;1443.262031469177;345.4090469437032;2790.0;841.4133333333333;3.104100079756722;0.23932525030960042;1;49.22078365638766;5.991989074889868;POINT (5.991989074889868 49.22078365638766)
3042;54320;2157.8128331094194;531.7101425135774;4035.4840000000004;1304.82;7.930697502376227;0.24641161381331683;0;48.71049668478261;6.157879239130435;POINT (6.157879239130435 48.71049668478261)
3043;54330;1407.7448195629768;299.957921920722;1923.08;729.3966666666666;-0.04660592991883039;0.2130769140488413;1;48.48565046296296;6.07586074074074;POINT (6.07586074074074 48.48565046296296)
3044;54340;1617.7588383838383;331.71598881517775;2321.43;941.74;4.938283422170042;0.20504662434517512;1;48.76957031746032;6.124388888888889;POINT (6.124388888888889 48.76957031746032)
3045;54350;2351.6437270692268;672.773291640838;3375.0;733.33;15.901763668876455;0.2860864015652968;0;49.54208364640884;5.779602375690608;POINT (5.779602375690608 49.54208364640884)
3046;54360;1643.6070803571426;372.4396359449933;2643.98;781.58;8.027310630925255;0.22659894837156894;1;48.5517705952381;6.39679994047619;POINT (6.39679994047619 48.5517705952381)
3047;54370;1086.9305833333333;301.7480142807488;2090.0;527.1700000000001;2.2375400784285127;0.27761479795275074;1;48.675013263157894;6.519594210526316;POINT (6.519594210526316 48.675013263157894)
3048;54380;1586.9248414734689;413.2582885379812;2845.2666666666664;454.55;1.6145700745688218;0.26041453113448554;1;48.83121014354067;6.063908038277512;POINT (6.063908038277512 48.83121014354067)
3049;54385;1227.8925396825396;410.9456224363711;2048.495;395.0;11.570943291960024;0.33467555926564824;0;48.8155246875;5.9214721875;POINT (5.9214721875 48.8155246875)
3050;54390;1592.0246716500553;356.0952606668583;2747.75;618.04;1.4929203890991616;0.22367446121157347;1;48.758111510791366;6.128902733812949;POINT (6.128902733812949 48.758111510791366)
3051;54400;2211.587573821889;345.81006717810516;2728.7723529411765;1474.36;8.704220467385015;0.15636281885076062;1;49.52122356713427;5.759890941883767;POINT (5.759890941883767 49.52122356713427)
3052;54410;2202.0932610930736;350.1274269910114;2995.0;1420.5366666666669;1.996319977600658;0.15899754709626393;1;48.65426248175183;6.229335328467154;POINT (6.229335328467154 48.65426248175183)
3053;54420;2274.4276924066926;468.8119534218167;3226.665;1109.09;2.3161258369370996;0.20612304140816273;1;48.689489126213594;6.25169640776699;POINT (6.25169640776699 48.689489126213594)
3054;54425;2547.078;314.89752794583563;3166.67;1992.0;1.7895122045175516;0.1236308931041121;1;48.70335530612245;6.256867959183673;POINT (6.256867959183673 48.70335530612245)
3055;54430;2052.315955687831;483.39490699573804;3297.745;1223.4450000000002;13.204437112976365;0.2355363001764165;0;49.49891467289719;5.756681121495327;POINT (5.756681121495327 49.49891467289719)
3056;54440;1981.9136936936939;412.63158882195654;3033.0866666666666;1299.07;11.57546597757908;0.2081985659289405;1;49.520141855670104;5.789251340206185;POINT (5.789251340206185 49.520141855670104)
3057;54450;1011.3131486486486;495.74139099956636;3416.67;285.71;4.792679639037001;0.4901957337961966;0;48.577187528089894;6.787424606741573;POINT (6.787424606741573 48.577187528089894)
3058;54460;1764.5543455284553;430.3957991046349;2903.3450000000003;1066.67;8.453102665631974;0.24391189775214225;1;48.755121868131866;6.062024615384615;POINT (6.062024615384615 48.755121868131866)
3059;54470;1151.635857142857;392.51393257293574;2111.7799999999997;333.33;16.439138955154455;0.3408316353979638;0;48.94002298245614;5.85954649122807;POINT (5.85954649122807 48.94002298245614)
